clan_tag,clan_name,war_id,race_date,rank_position,fame,clan_score,trophy_change,roster_size,active_players,full_participation_players,total_player_fame,total_decks_used,avg_player_fame,avg_decks_used,participation_rate,full_participation_rate,previous_clan_fame,previous_clan_rank,previous_clan_score,previous_active_players,previous_participation_rate,previous_total_decks,last_3_avg_clan_fame,last_3_avg_clan_rank,last_3_avg_clan_score,last_3_avg_active_players,last_3_avg_participation_rate,last_3_avg_total_decks,clan_fame_trend,clan_score_change,active_players_change,previous_wars_count
#29LY00Y2,Flying Pandas,134-3-20260803T093203.000Z,2026-08-03 09:32:03,2,139150,4988,50,93,51,49,139150,795,1496.236559139785,8.548387096774194,0.5483870967741935,0.5268817204301075,9288.0,2.0,4978.0,54.0,0.6067415730337079,791.0,6901.333333333333,3.3333333333333335,4988.0,52.0,0.6611216498856948,789.0,1348.0,-5.0,2.0,3
#8Y2G0ULP,DesTroy,135-3-20260831T095208.000Z,2026-08-31 09:52:08,2,8569,6680,10,95,56,1,107575,612,1132.3684210526317,6.442105263157894,0.5894736842105263,0.010526315789473684,7740.0,2.0,6670.0,56.0,0.6292134831460674,594.0,7740.0,2.0,6660.0,55.0,0.711871361851902,610.0,0.0,10.0,1.0,3
#8Y2G0ULP,DesTroy,135-4-20260907T095204.000Z,2026-09-07 09:52:04,3,141250,6690,12,98,54,45,141250,800,1441.3265306122448,8.16326530612245,0.5510204081632653,0.45918367346938777,8569.0,2.0,6680.0,56.0,0.5894736842105263,612.0,8016.333333333333,2.0,6670.0,55.666666666666664,0.6271125899220774,603.0,829.0,10.0,0.0,4
#L0JQL802,Alt und Hungrig,134-3-20260803T093203.000Z,2026-08-03 09:32:03,4,131000,4790,-50,73,52,46,131000,787,1794.5205479452054,10.780821917808218,0.7123287671232876,0.6301369863013698,2800.0,5.0,4810.0,53.0,0.7910447761194029,763.0,4026.6666666666665,4.333333333333333,4823.333333333333,53.0,0.8539670944498864,781.6666666666666,-1540.0,-15.0,2.0,3
#Q982YYRL,Yaris DIAMOND,135-3-20260831T095208.000Z,2026-08-31 09:52:08,4,4784,5085,-10,89,54,47,134450,800,1510.6741573033707,8.98876404494382,0.6067415730337079,0.5280898876404494,4302.0,4.0,5095.0,55.0,0.7051282051282052,800.0,4700.666666666667,4.0,5105.0,54.666666666666664,0.8372905420602789,799.6666666666666,-878.0,-10.0,0.0,3
#Q982YYRL,Yaris DIAMOND,135-4-20260907T095204.000Z,2026-09-07 09:52:04,4,126950,5075,-50,101,55,43,126950,794,1256.930693069307,7.861386138613861,0.5445544554455446,0.42574257425742573,4784.0,4.0,5085.0,54.0,0.6067415730337079,800.0,4755.333333333333,4.0,5095.0,54.666666666666664,0.7237482593873045,799.6666666666666,482.0,-10.0,-1.0,4
#QQQLGRVQ,GPAS ACADEMY 2,134-3-20260803T093203.000Z,2026-08-03 09:32:03,3,132450,4770,-25,74,51,39,132450,747,1789.8648648648648,10.094594594594595,0.6891891891891891,0.527027027027027,2885.0,4.0,4780.0,44.0,0.6376811594202898,610.0,6788.333333333333,2.6666666666666665,4770.0,49.333333333333336,0.7224745836037205,721.3333333333334,-5255.0,10.0,-8.0,3
#QVGQCR8R,cobra kai 2,134-3-20260803T093203.000Z,2026-08-03 09:32:03,5,126400,4803,-100,106,50,37,126400,741,1192.4528301886792,6.990566037735849,0.4716981132075472,0.3490566037735849,7340.0,3.0,4808.0,50.0,0.5555555555555556,794.0,6206.666666666667,3.6666666666666665,4819.666666666667,50.666666666666664,0.6626007389950831,784.6666666666666,3000.0,-15.0,-1.0,3
#QYJ2YQR8,Maratonci 2,135-3-20260831T095208.000Z,2026-08-31 09:52:08,3,6891,5184,-5,75,54,40,138600,795,1848.0,10.6,0.72,0.5333333333333333,5896.0,3.0,5189.0,57.0,0.7808219178082192,797.0,6501.333333333333,3.0,5194.0,57.666666666666664,0.8469774039752888,798.0,-908.0,-5.0,0.0,3
#QYJ2YQR8,Maratonci 2,135-4-20260907T095204.000Z,2026-09-07 09:52:04,2,141250,5179,12,80,57,42,141250,800,1765.625,10.0,0.7125,0.525,6891.0,3.0,5184.0,54.0,0.72,795.0,6530.333333333333,3.0,5189.0,56.0,0.779685737308622,796.3333333333334,995.0,-5.0,-3.0,4
#RJ09V0J,Akadios,135-3-20260831T095208.000Z,2026-08-31 09:52:08,5,3540,5039,-20,65,53,36,115300,734,1773.8461538461538,11.292307692307693,0.8153846153846154,0.5538461538461539,3172.0,5.0,5059.0,46.0,0.7931034482758621,623.0,3605.3333333333335,5.0,5079.0,49.333333333333336,0.8782259813489482,700.0,-768.0,-20.0,-5.0,3
#RJ09V0J,Akadios,135-4-20260907T095204.000Z,2026-09-07 09:52:04,5,121100,5019,-100,69,51,47,121100,795,1755.072463768116,11.521739130434783,0.7391304347826086,0.6811594202898551,3540.0,5.0,5039.0,53.0,0.8153846153846154,734.0,3550.6666666666665,5.0,5059.0,50.0,0.8292661361626879,684.0,368.0,-20.0,7.0,4
#Y9202P9U,Galactic Kings,134-3-20260803T093203.000Z,2026-08-03 09:32:03,1,150050,9584,100,112,52,45,150050,783,1339.732142857143,6.991071428571429,0.4642857142857143,0.4017857142857143,10000.0,1.0,9564.0,50.0,0.49019607843137253,581.0,10000.0,1.0,9544.0,53.333333333333336,0.5775324314122813,596.3333333333334,0.0,20.0,-3.0,3
#Y9202P9U,Galactic Kings,135-0-20260810T095206.000Z,2026-08-10 09:52:06,1,10000,9684,20,68,53,4,114000,613,1676.4705882352941,9.014705882352942,0.7794117647058824,0.058823529411764705,150050.0,1.0,9584.0,52.0,0.4642857142857143,783.0,56683.333333333336,1.0,9564.0,51.666666666666664,0.5061038599837098,652.6666666666666,140050.0,20.0,2.0,4
#Y9202P9U,Galactic Kings,135-1-20260817T095206.000Z,2026-08-17 09:52:06,1,10000,9704,20,78,55,7,110400,609,1415.3846153846155,7.8076923076923075,0.7051282051282052,0.08974358974358974,10000.0,1.0,9684.0,53.0,0.7794117647058824,613.0,56683.333333333336,1.0,9610.666666666666,51.666666666666664,0.5779645191409898,659.0,-140050.0,100.0,1.0,5
#Y9202P9U,Galactic Kings,135-2-20260824T095205.000Z,2026-08-24 09:52:05,1,10000,9724,20,94,58,3,111700,596,1188.2978723404256,6.340425531914893,0.6170212765957447,0.031914893617021274,10000.0,1.0,9704.0,55.0,0.7051282051282052,609.0,56683.333333333336,1.0,9657.333333333334,53.333333333333336,0.6496085613732673,668.3333333333334,0.0,20.0,2.0,6
#Y9202P9U,Galactic Kings,135-3-20260831T095208.000Z,2026-08-31 09:52:08,1,9142,9744,20,101,57,35,144925,747,1434.90099009901,7.396039603960396,0.5643564356435643,0.3465346534653465,10000.0,1.0,9724.0,58.0,0.6170212765957447,596.0,10000.0,1.0,9704.0,55.333333333333336,0.7005204154766108,606.0,0.0,20.0,3.0,7
#Y9202P9U,Galactic Kings,135-4-20260907T095204.000Z,2026-09-07 09:52:04,1,145950,9764,100,113,64,39,145950,798,1291.5929203539822,7.061946902654867,0.5663716814159292,0.34513274336283184,9142.0,1.0,9744.0,57.0,0.5643564356435643,747.0,9714.0,1.0,9724.0,56.666666666666664,0.6288353057891714,650.6666666666666,-858.0,20.0,-1.0,8
#Y9202P9U,Galactic Kings,136-0-20260914T095308.000Z,2026-09-14 09:53:08,1,10000,9864,20,70,56,6,108850,600,1555.0,8.571428571428571,0.8,0.08571428571428572,145950.0,1.0,9764.0,64.0,0.5663716814159292,798.0,55030.666666666664,1.0,9744.0,59.666666666666664,0.5825831312184127,713.6666666666666,136808.0,20.0,7.0,9
