live_race_id,section_index,clan_tag,clan_name,period_index,points_earned,progress_start_of_day,progress_end_of_day,end_of_day_rank,progress_earned,progress_earned_from_defenses,battle_day,previous_day_points,previous_day_rank,previous_day_progress,avg_previous_points,avg_previous_rank
Y9202P9U-section-1-week-1,1,#9VLJRY2J,Gentleman Jack,3,33350,0,1035,3,600,435,1,,,,,
Y9202P9U-section-1-week-1,1,#9VLJRY2J,Gentleman Jack,4,28900,1035,1870,4,400,435,2,33350.0,3.0,1035.0,33350.0,3.0
Y9202P9U-section-1-week-1,1,#9VLJRY2J,Gentleman Jack,5,30650,1870,2503,4,400,233,3,28900.0,4.0,1870.0,31125.0,3.5
Y9202P9U-section-1-week-1,1,#9VLJRY2J,Gentleman Jack,6,30600,2503,3336,3,600,233,4,30650.0,4.0,2503.0,30966.666666666668,3.6666666666666665
Y9202P9U-section-1-week-1,1,#J29J90P,isao,3,35200,0,1435,2,1000,435,1,,,,,
Y9202P9U-section-1-week-1,1,#J29J90P,isao,4,34750,1435,3670,1,1800,435,2,35200.0,2.0,1435.0,35200.0,2.0
Y9202P9U-section-1-week-1,1,#J29J90P,isao,5,34275,3670,5905,1,1800,435,3,34750.0,1.0,3670.0,34975.0,1.5
Y9202P9U-section-1-week-1,1,#J29J90P,isao,6,34400,5905,8735,0,2400,430,4,34275.0,1.0,5905.0,34741.666666666664,1.3333333333333333
Y9202P9U-section-1-week-1,1,#LUG9LVC0,37XU,3,29900,0,835,4,400,435,1,,,,,
Y9202P9U-section-1-week-1,1,#LUG9LVC0,37XU,4,33950,835,1870,3,600,435,2,29900.0,4.0,835.0,29900.0,4.0
Y9202P9U-section-1-week-1,1,#LUG9LVC0,37XU,5,31700,1870,2905,3,600,435,3,33950.0,3.0,1870.0,31925.0,3.5
Y9202P9U-section-1-week-1,1,#LUG9LVC0,37XU,6,33800,2905,4340,2,1000,435,4,31700.0,3.0,2905.0,31850.0,3.3333333333333335
Y9202P9U-section-1-week-1,1,#Y9202P9U,Galactic Kings,3,37550,0,3435,0,3000,435,1,,,,,
Y9202P9U-section-1-week-1,1,#Y9202P9U,Galactic Kings,4,35450,3435,6870,0,3000,435,2,37550.0,0.0,3435.0,37550.0,0.0
Y9202P9U-section-1-week-1,1,#Y9202P9U,Galactic Kings,5,35850,6870,10000,0,3000,435,3,35450.0,0.0,6870.0,36500.0,0.0
Y9202P9U-section-1-week-1,1,#YV8JLPC2,ILLUMINATI 2.0,3,36300,0,2235,1,1800,435,1,,,,,
Y9202P9U-section-1-week-1,1,#YV8JLPC2,ILLUMINATI 2.0,4,34100,2235,3468,2,1000,233,2,36300.0,1.0,2235.0,36300.0,1.0
Y9202P9U-section-1-week-1,1,#YV8JLPC2,ILLUMINATI 2.0,5,33100,3468,4701,2,1000,233,3,34100.0,2.0,3468.0,35200.0,1.5
Y9202P9U-section-1-week-1,1,#YV8JLPC2,ILLUMINATI 2.0,6,34400,4701,7334,0,2400,233,4,33100.0,2.0,4701.0,34500.0,1.6666666666666667
