player_tag,player_name,currently_member,prediction_tier,participation_probability,expected_daily_fame,confirmed_active_daily_fame,archetype_name,expected_value_rank,expected_value_status,active_lineup_rank,active_lineup_status,rank_change_if_confirmed
#9RG0VPUVY,batan,1,ml_model,0.5510017555233375,401.12717775174184,332.3490044388482,Inconsistent Contributor,39,START,51,BACKUP,-12
#292LQCL92,Moath_LY,0,ml_model,0.7692168654444436,358.4943879316976,330.4619873503553,Inconsistent Contributor,47,START,52,BACKUP,-5
#9YP0RYGR,AL_JOKER,1,ml_model,0.6838793996833779,278.0266922063615,303.93639708628126,Not Enough History,53,BACKUP,53,BACKUP,0
#9UY8L0UJG,hog❤️,0,ml_model,0.6481428072946503,268.9791503121645,275.2550341874559,Low-Participation Player,55,BACKUP,54,BACKUP,1
#ULV0RPYJR,Always Lucky,1,ml_model,0.6204450111340801,248.66643182247594,274.3160583243915,Low-Participation Player,56,BACKUP,55,BACKUP,1
#VGCYJYQGJ,▁ ▂ ▃ ▄ ▅ ▆ █ Ⓓ,0,limited_history,1.0,225.0,225.0,Not Enough History,59,BACKUP,56,BACKUP,3
#CJVL8CG8,GK03™,0,ml_model,0.8017481331208973,276.03721550328925,206.47744651182163,Inconsistent Contributor,54,BACKUP,57,BACKUP,-3
#209JLQRPQ,Babsking,1,ml_model,0.807535563869473,246.9690699022809,191.24471315721328,Inconsistent Contributor,57,BACKUP,58,BACKUP,-1
#L2VQJ8QVP,Horsey,0,ml_model,0.5460781059758444,179.42091296031424,187.39068107818107,Not Enough History,61,BACKUP,59,BACKUP,2
#9RQ8YRYQL,老板 Ι Batan’宙斯,0,ml_model,0.5440721015667233,234.0742965279452,180.86662313381052,Inconsistent Contributor,58,BACKUP,60,BACKUP,-2
#PCJYGUYU,♠️Cam♦️,1,ml_model,0.476421822750406,171.5828942425993,180.42269437095828,Low-Participation Player,62,BACKUP,61,BACKUP,1
#UC9J89QRY,RUM SHIP,0,ml_model,0.4138590452530458,132.32411710330535,140.09498973248972,Low-Participation Player,63,BACKUP,62,BACKUP,1
#Y209JCGU,hog™️,0,limited_history,1.0,125.0,125.0,Not Enough History,65,BACKUP,63,BACKUP,2
#2QJCUU8C8,MK506,1,limited_history,1.0,112.5,112.5,Not Enough History,66,BACKUP,64,BACKUP,2
#PPLJYPL8Q,Luiz CR☄️,1,limited_history,0.5,12.5,12.5,Not Enough History,70,BACKUP,65,BACKUP,5
#99V29PPLU,▁ ▂ ▃ ▄ ▅ ▆ █Ⓣ,1,ml_model,0.3549665802123841,215.34024674421067,0.0,Inconsistent Contributor,60,BACKUP,66,BACKUP,-6
#RLC920VU0,ℵΛMƎ,0,ml_model,0.2757739569805207,130.5312396073976,0.0,Not Enough History,64,BACKUP,67,BACKUP,-3
#GC00888J0,りあぴぃ,0,ml_model,0.2534264015101673,45.011325733649585,0.0,Not Enough History,68,BACKUP,68,BACKUP,0
#CJPL2J82U,Riapyi,0,ml_model,0.2464717324854194,36.76328437476826,0.0,Low-Participation Player,69,BACKUP,69,BACKUP,0
#YC2VCCQ8P,hog,0,ml_model,0.1219599258428005,72.1019684501452,0.0,Not Enough History,67,BACKUP,70,BACKUP,-3
#2ULQP2QPQ,Agentㅣ지케이✨,0,ml_model,0.0294459679406245,3.771118939242626,0.0,Not Enough History,71,BACKUP,71,BACKUP,0
#P82L9GQL0,hog✨,0,limited_history,0.0,0.0,0.0,Not Enough History,72,BACKUP,72,BACKUP,0
#LVLVC8QYC,✨️mariano☔️☃️,0,limited_history,0.0,0.0,0.0,Not Enough History,73,BACKUP,73,BACKUP,0
