player_tag,player_name,currently_member,prediction_tier,participation_probability,expected_daily_fame,confirmed_active_daily_fame,archetype_name,expected_value_rank,expected_value_status,active_lineup_rank,active_lineup_status,rank_change_if_confirmed
#QJPGQPU,Storm,1,ml_model,0.7557192543016239,651.5088491125377,666.0866367669753,Reliable High Performer,1,START,1,START,0
#C9Q20CLGY,❤️ Ana Luiza ❤️,1,limited_history,1.0,625.0,625.0,Not Enough History,2,START,5,START,-3
#ULVP8GRR0,Sightless™ I 強的,0,ml_model,0.7238030966575887,607.0017436351138,640.055457476551,Not Enough History,3,START,3,START,0
#P8JUY99V,The Jonkler,1,ml_model,0.6941710733623053,585.8439610932797,575.9857672291699,Reliable High Performer,4,START,16,START,-12
#U8Q9CGYU,⚡Agustin⚡,0,ml_model,0.8350015298489201,579.6917183276753,603.8234740969551,Reliable High Performer,5,START,6,START,-1
#8R8CYV8QP,Esdeath,1,ml_model,0.8619716790218874,578.7047590754075,561.7549152236652,Reliable High Performer,6,START,22,START,-16
#C222JLCG,⭐PRO⭐,0,limited_history,1.0,575.0,575.0,Not Enough History,7,START,17,START,-10
#9GLQUU0C,aattcc,1,ml_model,0.5042466699297167,571.2349928284095,635.0795023649184,Reliable High Performer,8,START,4,START,4
#U8L88PUJU,for nothing!,1,ml_model,0.8607911789816352,570.7641962395277,595.9544972605521,Reliable High Performer,9,START,10,START,-1
#22UC0QQGU,E17,0,ml_model,0.7213187428882443,569.0572019982113,586.2285794837875,Inconsistent Contributor,10,START,15,START,-5
#J98LL9CU,Deadication,0,ml_model,0.7609467234828564,568.9071401319661,594.5984839234839,Reliable High Performer,11,START,11,START,0
#2P9LU2YUU,Drew62,1,ml_model,0.8656787836888115,563.9475344781604,597.9834601596322,Reliable High Performer,12,START,7,START,5
#JPGLC99VU,BigRys,1,ml_model,0.7995543773745375,563.3501447593075,587.5932975797992,Reliable High Performer,13,START,14,START,-1
#CUJ0YVLL9,FF｜Soxee™,1,ml_model,0.7913796039954287,562.124309974401,536.8115519133963,Reliable High Performer,14,START,29,START,-15
#2VYLGPPUV,Nadir,1,ml_model,0.6538370645590552,555.9761738704715,568.6007748906184,Reliable High Performer,15,START,19,START,-4
#Q0GVLRRU,Cobrito❤️Moni,1,ml_model,0.7537877952377667,553.0650165805474,597.2722053120491,Reliable High Performer,16,START,8,START,8
#8RQCGY8CQ,GK｜Logan,1,ml_model,0.7100135361806843,550.7492737255416,663.5808827152141,Inconsistent Contributor,17,START,2,START,15
#Y2G9LJVGY,Agent,1,ml_model,0.8270265856106628,548.2125733635032,596.8404466916187,Reliable High Performer,18,START,9,START,9
#Y992UG9P2,Seto Kaiba｜波多黎各,1,ml_model,0.8861762513786602,545.1694957612972,589.7909757744824,Reliable High Performer,19,START,13,START,6
#Q9JURC8RG,reaperwarrior,1,ml_model,0.8908434398756795,541.1232213289229,593.0082200207199,Inconsistent Contributor,20,START,12,START,8
#2UVCJPPG,Alim,1,ml_model,0.9133633482559014,534.6536288698321,574.7183538009059,Reliable High Performer,21,START,18,START,3
#88YRCPUPY,『AL』L - in,1,ml_model,0.8062825205316615,533.7935212627001,514.8938684386603,Not Enough History,22,START,32,START,-10
#PVJ80LQU,ProB,1,ml_model,0.6859754982451303,533.4226089739616,537.3514992434261,Reliable High Performer,23,START,28,START,-5
#Q0Y9VUQG9,Jenner8,1,ml_model,0.7680150675046904,533.1654372846161,544.7226417824075,Reliable High Performer,24,START,26,START,-2
#8UR9GLUG,shriyawn,1,ml_model,0.8424731255728642,532.1520508164718,564.3335834111875,Reliable High Performer,25,START,20,START,5
#8YGLJYV92,Akren,1,ml_model,0.6769836176528381,528.3952758372283,533.0138195571789,Reliable High Performer,26,START,31,START,-5
#2LPQUJV8Q,寒冰法師❦tzu,0,ml_model,0.8542228662394825,526.50407925434,549.8654031459153,Reliable High Performer,27,START,24,START,3
#GQYVYQ82,AM♣️Joma,1,ml_model,0.8485515922434584,522.1749788552207,564.2274661263376,Reliable High Performer,28,START,21,START,7
#9RU0GR8J,LionGalaxy,0,ml_model,0.8994130973170881,492.4409368508483,533.6348540942726,Inconsistent Contributor,29,START,30,START,-1
#PGPCJCY2,LandShark,1,ml_model,0.684937901259408,489.2938796359312,537.6995801197808,Reliable High Performer,30,START,27,START,3
#G0YVG9J9R,Pindakaas,1,ml_model,0.8341140276766885,467.343890174977,560.9292568992222,Inconsistent Contributor,31,START,23,START,8
#G0QQUGY,syen,1,ml_model,0.7764357160212646,451.3782328309069,407.4894733866955,Inconsistent Contributor,32,START,38,START,-6
#9002L2R9R,JSN✨,1,ml_model,0.852920963104299,440.6564985488862,548.4896044702468,Inconsistent Contributor,33,START,25,START,8
#UJRR8QGUJ,The Iso Zo,0,limited_history,0.5,437.5,437.5,Not Enough History,34,START,33,START,1
#J80LP2J0,ABRAMMP3 JR,0,limited_history,1.0,431.25,431.25,Not Enough History,35,START,35,START,0
#9RY8GQJQU,『PHX』Marcel✨Nay,0,ml_model,0.5396708739157069,419.99674882908965,435.48627414252405,Inconsistent Contributor,36,START,34,START,2
#2J00R9YP,Pątbøy²¹,1,clan_baseline,0.6630308943735641,407.7330218558322,407.7330218558322,Not Enough History,37,START,36,START,1
#8PPP02LPP,I AM SOO COOL,1,ml_model,0.7592067157784477,402.24973125801944,383.5454536782662,Inconsistent Contributor,38,START,41,START,-3
#9RG0VPUVY,batan,1,ml_model,0.5510017555233375,401.12717775174184,332.3490044388482,Inconsistent Contributor,39,START,51,BACKUP,-12
#90PYC2P2,▁ ▂ ▃ ▄ ▅ ▆ █ Ⓓ,1,ml_model,0.5821651792453142,400.2722822739769,349.199953740318,Inconsistent Contributor,40,START,46,START,-6
#8V2Q2GVGU,polski koks,1,ml_model,0.626369399770297,393.15163670985504,394.4415859988776,Inconsistent Contributor,41,START,39,START,2
#VQQLRRGRR,HumBleGuY,0,ml_model,0.6444685290568654,385.96064255168756,388.795297468735,Inconsistent Contributor,42,START,40,START,2
#YP9L28LU,Thundrrun,1,ml_model,0.6592943336181657,380.69716866716266,342.22678938859485,Not Enough History,43,START,49,START,-6
#9YUCJV00,MuK｜⚡Leo⚡,0,ml_model,0.5060320514336406,366.4306238558626,353.7478050595237,Inconsistent Contributor,44,START,45,START,-1
#JLCYYCY0G,Alsubaie,1,ml_model,0.709442912842502,365.170651762858,376.8024101348753,Not Enough History,45,START,42,START,3
#QV9YQ2JL,Boozer✨️,0,ml_model,0.7042164873330163,363.83831144062685,337.20157343942054,Inconsistent Contributor,46,START,50,START,-4
#292LQCL92,Moath_LY,0,ml_model,0.7692168654444436,358.4943879316976,330.4619873503553,Inconsistent Contributor,47,START,52,BACKUP,-5
#GUVVPU828,Ryza,1,ml_model,0.4613438715829317,352.3040151281505,343.72275282587765,Inconsistent Contributor,48,START,48,START,0
#8QR0CRVL0,hog rider,0,ml_model,0.7408579449039051,345.8515190073732,407.72506155752654,Low-Participation Player,49,START,37,START,12
#YLLQ9V9C8,Dukeypoo❤️Zo,0,ml_model,0.6143002976828783,340.70060974692404,376.1554465893225,Low-Participation Player,50,START,43,START,7
