clan_tag,clan_name,battle_day,day_status,actual_medals,projected_medals,actual_end_of_day_rank,actual_progress_start,actual_progress_end,actual_base_movement,actual_defense_bonus,projected_defense_bonus,projected_day_rank,projected_base_movement,projected_total_movement_earned,projected_progress_end,finished_after_day
#9VLJRY2J,Gentleman Jack,1,future,0.0,22624.34,,,,,,0.0,5.0,400.0,400.0,400.0,False
#J29J90P,isao,1,future,0.0,23663.44,,,,,,0.0,4.0,600.0,600.0,600.0,False
#LUG9LVC0,37XU,1,future,0.0,26252.62,,,,,,0.0,3.0,1000.0,1000.0,1000.0,False
#Y9202P9U,Galactic Kings,1,future,0.0,28980.41,,,,,,0.0,2.0,1800.0,1800.0,1800.0,False
#YV8JLPC2,ILLUMINATI 2.0,1,future,0.0,31062.71,,,,,,0.0,1.0,3000.0,3000.0,3000.0,False
#9VLJRY2J,Gentleman Jack,2,future,0.0,22624.34,,,,,,0.0,5.0,400.0,400.0,800.0,False
#J29J90P,isao,2,future,0.0,23663.44,,,,,,0.0,4.0,600.0,600.0,1200.0,False
#LUG9LVC0,37XU,2,future,0.0,26252.62,,,,,,0.0,3.0,1000.0,1000.0,2000.0,False
#Y9202P9U,Galactic Kings,2,future,0.0,28980.41,,,,,,0.0,2.0,1800.0,1800.0,3600.0,False
#YV8JLPC2,ILLUMINATI 2.0,2,future,0.0,31062.71,,,,,,0.0,1.0,3000.0,3000.0,6000.0,False
#9VLJRY2J,Gentleman Jack,3,future,0.0,22624.34,,,,,,0.0,5.0,400.0,400.0,1200.0,False
#J29J90P,isao,3,future,0.0,23663.44,,,,,,0.0,4.0,600.0,600.0,1800.0,False
#LUG9LVC0,37XU,3,future,0.0,26252.62,,,,,,0.0,3.0,1000.0,1000.0,3000.0,False
#Y9202P9U,Galactic Kings,3,future,0.0,28980.41,,,,,,0.0,2.0,1800.0,1800.0,5400.0,False
#YV8JLPC2,ILLUMINATI 2.0,3,future,0.0,31062.71,,,,,,0.0,1.0,3000.0,3000.0,9000.0,False
#9VLJRY2J,Gentleman Jack,4,future,0.0,22624.34,,,,,,0.0,5.0,400.0,400.0,1600.0,False
#J29J90P,isao,4,future,0.0,23663.44,,,,,,0.0,4.0,600.0,600.0,2400.0,False
#LUG9LVC0,37XU,4,future,0.0,26252.62,,,,,,0.0,3.0,1000.0,1000.0,4000.0,False
#Y9202P9U,Galactic Kings,4,future,0.0,28980.41,,,,,,0.0,2.0,1800.0,1800.0,7200.0,False
#YV8JLPC2,ILLUMINATI 2.0,4,future,0.0,31062.71,,,,,,0.0,1.0,3000.0,3000.0,10000.0,True
